Articulo,Factura,Nro,Fecha,SubTotal,Total,Estado,id_producto,Cantidad,PrecioUnitario,Precio,Comentario,Contacto,Cuenta,Edad,Usuario
"Ebro Visión","Pedido de Cliente 2",SO78,"2012-11-11 15:01:38",1200.000,1464.000,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 2",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 2",SO78,"2012-11-11 15:01:38",1200.000,1464.000,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 2",55,"3 Visitador tres"
"Terfiren crema - 10g","Pedido de Cliente 7",SO79,"2013-02-18 20:34:10",400.000,488.000,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 7",32,"uno Visitador"
Alufren,"Pedido de Cliente 7",SO79,"2013-02-18 20:34:10",400.000,488.000,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 7",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 3",SO80,"2013-01-11 10:17:36",2054.000,2505.880,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 3",55,"3 Visitador tres"
"Terfiren crema - 10g","Pedido de Cliente 3",SO80,"2013-01-11 10:17:36",2054.000,2505.880,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 3",55,"3 Visitador tres"
"Ebroderm Piel Seca","Pedido de Cliente 3",SO80,"2013-01-11 10:17:36",2054.000,2505.880,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 3",55,"3 Visitador tres"
Contractubex,"Pedido de Cliente 13",SO81,"2013-04-17 20:13:34",2194.000,2676.680,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 13",55,"3 Visitador tres"
Contractubex,"Pedido de Cliente 13",SO81,"2013-04-17 20:13:34",2194.000,2676.680,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 13",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 13",SO81,"2013-04-17 20:13:34",2194.000,2676.680,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 13",55,"3 Visitador tres"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 13",SO81,"2013-04-17 20:13:34",2194.000,2676.680,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 13",55,"3 Visitador tres"
"Ebroderm Piel Seca","Pedido de Cliente 5",SO83,"2013-07-14 16:25:56",1454.000,1773.880,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 5",55,"3 Visitador tres"
"Terfiren crema - 10g","Pedido de Cliente 5",SO83,"2013-07-14 16:25:56",1454.000,1773.880,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 5",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 20",SO84,"2012-11-19 14:57:40",1000.000,1220.000,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 20",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 9",SO85,"2012-11-15 13:38:30",1594.000,1944.680,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 9",32,"uno Visitador"
"Ebroderm Piel Seca","Pedido de Cliente 9",SO85,"2012-11-15 13:38:30",1594.000,1944.680,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 9",32,"uno Visitador"
Alufren,"Pedido de Cliente 9",SO85,"2012-11-15 13:38:30",1594.000,1944.680,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 9",32,"uno Visitador"
"Ebro Bebé","Pedido de Cliente 12",SO86,"2012-09-07 18:30:59",4468.000,5450.960,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 12",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 12",SO86,"2012-09-07 18:30:59",4468.000,5450.960,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 12",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 12",SO86,"2012-09-07 18:30:59",4468.000,5450.960,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 12",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 12",SO86,"2012-09-07 18:30:59",4468.000,5450.960,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 12",2,"Dos Visitador Dos"
"Terfiren crema - 10g","Pedido de Cliente 10",SO87,"2013-05-06 11:40:06",1180.000,1439.600,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 10",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 10",SO87,"2013-05-06 11:40:06",1180.000,1439.600,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 10",32,"uno Visitador"
Ebroset,"Pedido de Cliente 10",SO87,"2013-05-06 11:40:06",1180.000,1439.600,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 10",32,"uno Visitador"
"Terfiren crema - 5g","Pedido de Cliente 10",SO87,"2013-05-06 11:40:06",1180.000,1439.600,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 10",32,"uno Visitador"
Ebroset,"Pedido de Cliente 6",SO88,"2012-09-03 18:06:33",900.000,1098.000,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 6",2,"Dos Visitador Dos"
"Terfiren crema - 5g","Pedido de Cliente 6",SO88,"2012-09-03 18:06:33",900.000,1098.000,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 6",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 6",SO88,"2012-09-03 18:06:33",900.000,1098.000,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 6",2,"Dos Visitador Dos"
"Terfiren crema - 5g","Pedido de Cliente 6",SO88,"2012-09-03 18:06:33",900.000,1098.000,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 6",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 6",SO88,"2012-09-03 18:06:33",900.000,1098.000,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 6",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 9",SO89,"2013-02-15 12:36:59",1500.000,1830.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 9",32,"uno Visitador"
"Ebro Bebé","Pedido de Cliente 12",SO90,"2013-07-16 14:56:24",2257.000,2753.540,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 12",55,"3 Visitador tres"
"Eu-tTG IgA Humana","Pedido de Cliente 12",SO90,"2013-07-16 14:56:24",2257.000,2753.540,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 12",55,"3 Visitador tres"
Contractubex,"Pedido de Cliente 12",SO90,"2013-07-16 14:56:24",2257.000,2753.540,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 12",55,"3 Visitador tres"
"Terfiren crema - 5g","Pedido de Cliente 12",SO90,"2013-07-16 14:56:24",2257.000,2753.540,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 12",55,"3 Visitador tres"
"Hepa-Merz Granulado","Pedido de Cliente 10",SO91,"2013-04-25 14:36:02",2414.000,2945.080,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 10",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 10",SO91,"2013-04-25 14:36:02",2414.000,2945.080,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 10",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 10",SO91,"2013-04-25 14:36:02",2414.000,2945.080,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 10",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 3",SO92,"2013-02-20 17:08:03",1180.000,1439.600,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 3",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 3",SO92,"2013-02-20 17:08:03",1180.000,1439.600,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 3",55,"3 Visitador tres"
"Terfiren crema - 10g","Pedido de Cliente 3",SO92,"2013-02-20 17:08:03",1180.000,1439.600,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 3",55,"3 Visitador tres"
Alufren,"Pedido de Cliente 3",SO92,"2013-02-20 17:08:03",1180.000,1439.600,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 3",55,"3 Visitador tres"
"Hepa-Merz Granulado","Pedido de Cliente 14",SO93,"2013-03-03 12:56:47",3574.000,4360.280,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 14",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 14",SO93,"2013-03-03 12:56:47",3574.000,4360.280,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 14",2,"Dos Visitador Dos"
"Ebro Visión","Pedido de Cliente 14",SO93,"2013-03-03 12:56:47",3574.000,4360.280,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 14",2,"Dos Visitador Dos"
"Eu-tTG IgA Humana","Pedido de Cliente 14",SO93,"2013-03-03 12:56:47",3574.000,4360.280,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 14",2,"Dos Visitador Dos"
"Eu-tTG IgA Humana","Pedido de Cliente 14",SO93,"2013-03-03 12:56:47",3574.000,4360.280,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 14",2,"Dos Visitador Dos"
"Ebroderm Piel Seca","Pedido de Cliente 12",SO94,"2012-12-17 11:15:12",2234.000,2725.480,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 12",2,"Dos Visitador Dos"
"Hepa-Merz Granulado","Pedido de Cliente 12",SO94,"2012-12-17 11:15:12",2234.000,2725.480,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 12",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 20",SO96,"2012-10-15 19:29:49",180.000,219.600,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 20",32,"uno Visitador"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 15",SO97,"2012-09-01 18:25:15",4231.000,5161.820,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 15",55,"3 Visitador tres"
"Eu-tTG IgA Humana","Pedido de Cliente 15",SO97,"2012-09-01 18:25:15",4231.000,5161.820,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 15",55,"3 Visitador tres"
"Ebro Visión","Pedido de Cliente 15",SO97,"2012-09-01 18:25:15",4231.000,5161.820,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 15",55,"3 Visitador tres"
"Ebroderm Piel Normal","Pedido de Cliente 15",SO97,"2012-09-01 18:25:15",4231.000,5161.820,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 15",55,"3 Visitador tres"
"Ebro Bebé","Pedido de Cliente 3",SO98,"2012-12-13 20:29:05",3077.000,3753.940,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 3",55,"3 Visitador tres"
"Eu-tTG IgA Humana","Pedido de Cliente 3",SO98,"2012-12-13 20:29:05",3077.000,3753.940,Created,246,1.000,897.000,897.000000,"Eu-tTG IgA Humana",,"Cliente 3",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 3",SO98,"2012-12-13 20:29:05",3077.000,3753.940,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 3",55,"3 Visitador tres"
"Terfiren crema - 5g","Pedido de Cliente 3",SO98,"2012-12-13 20:29:05",3077.000,3753.940,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 3",55,"3 Visitador tres"
Alufren,"Pedido de Cliente 13",SO99,"2013-05-21 19:37:08",1180.000,1439.600,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 13",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 13",SO99,"2013-05-21 19:37:08",1180.000,1439.600,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 13",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 17",SO100,"2012-10-01 17:35:59",1594.000,1944.680,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 17",2,"Dos Visitador Dos"
"Ebroderm Piel Seca","Pedido de Cliente 17",SO100,"2012-10-01 17:35:59",1594.000,1944.680,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 17",2,"Dos Visitador Dos"
Pantogar,"Pedido de Cliente 17",SO100,"2012-10-01 17:35:59",1594.000,1944.680,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 17",2,"Dos Visitador Dos"
Contractubex,"Pedido de Cliente 5",SO101,"2013-05-13 20:26:49",580.000,707.600,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 5",55,"3 Visitador tres"
"Terfiren crema - 10g","Pedido de Cliente 5",SO101,"2013-05-13 20:26:49",580.000,707.600,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 5",55,"3 Visitador tres"
Viru-Merz,"Pedido de Cliente 5",SO101,"2013-05-13 20:26:49",580.000,707.600,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 5",55,"3 Visitador tres"
"Ad Muc","Pedido de Cliente 17",SO102,"2013-01-18 10:16:15",1540.000,1878.800,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 17",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 17",SO102,"2013-01-18 10:16:15",1540.000,1878.800,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 17",2,"Dos Visitador Dos"
Contractubex,"Pedido de Cliente 17",SO102,"2013-01-18 10:16:15",1540.000,1878.800,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 17",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 17",SO102,"2013-01-18 10:16:15",1540.000,1878.800,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 17",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 11",SO103,"2012-12-11 21:38:01",3780.000,4611.600,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 11",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 11",SO103,"2012-12-11 21:38:01",3780.000,4611.600,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 11",2,"Dos Visitador Dos"
"Ebro Visión","Pedido de Cliente 11",SO103,"2012-12-11 21:38:01",3780.000,4611.600,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 11",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 11",SO103,"2012-12-11 21:38:01",3780.000,4611.600,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 11",2,"Dos Visitador Dos"
"Ebro Bebé","Pedido de Cliente 11",SO103,"2012-12-11 21:38:01",3780.000,4611.600,Created,243,1.000,1000.000,1000.000000,"Ebro Beb&eacute;",,"Cliente 11",2,"Dos Visitador Dos"
"Terfiren crema - 5g","Pedido de Cliente 4",SO105,"2013-03-24 13:26:49",2634.000,3213.480,Created,253,1.000,180.000,180.000000,"Terfiren crema - 5g",,"Cliente 4",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 4",SO105,"2013-03-24 13:26:49",2634.000,3213.480,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 4",2,"Dos Visitador Dos"
"Terfiren crema - 10g","Pedido de Cliente 4",SO105,"2013-03-24 13:26:49",2634.000,3213.480,Created,254,1.000,220.000,220.000000,"Terfiren crema - 10g",,"Cliente 4",2,"Dos Visitador Dos"
"Hepa-Merz Granulado","Pedido de Cliente 4",SO105,"2013-03-24 13:26:49",2634.000,3213.480,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 4",2,"Dos Visitador Dos"
Alufren,"Pedido de Cliente 5",SO106,"2013-04-15 19:42:02",180.000,219.600,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 5",2,"Dos Visitador Dos"
Contractubex,"Pedido de Cliente 6",SO108,"2012-11-03 18:58:43",1540.000,1878.800,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 6",32,"uno Visitador"
Viru-Merz,"Pedido de Cliente 6",SO108,"2012-11-03 18:58:43",1540.000,1878.800,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 6",32,"uno Visitador"
Ebroset,"Pedido de Cliente 6",SO108,"2012-11-03 18:58:43",1540.000,1878.800,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 6",32,"uno Visitador"
Contractubex,"Pedido de Cliente 6",SO108,"2012-11-03 18:58:43",1540.000,1878.800,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 6",32,"uno Visitador"
"Ebroderm Piel Seca","Pedido de Cliente 17",SO109,"2012-10-18 13:18:50",1414.000,1725.080,Created,238,1.000,1234.000,1234.000000,"Ebroderm Piel Seca",,"Cliente 17",55,"3 Visitador tres"
Pantogar,"Pedido de Cliente 17",SO109,"2012-10-18 13:18:50",1414.000,1725.080,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 17",55,"3 Visitador tres"
"Ebroderm Piel Normal","Pedido de Cliente 10",SO110,"2012-09-10 14:28:10",1500.000,1830.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 10",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 9",SO111,"2013-03-19 10:43:18",2960.000,3611.200,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 9",2,"Dos Visitador Dos"
"Ebro Visión","Pedido de Cliente 9",SO111,"2013-03-19 10:43:18",2960.000,3611.200,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 9",2,"Dos Visitador Dos"
Contractubex,"Pedido de Cliente 9",SO111,"2013-03-19 10:43:18",2960.000,3611.200,Created,249,1.000,180.000,180.000000,Contractubex,,"Cliente 9",2,"Dos Visitador Dos"
"Hepa-Merz Granulado","Pedido de Cliente 9",SO111,"2013-03-19 10:43:18",2960.000,3611.200,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 9",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 9",SO111,"2013-03-19 10:43:18",2960.000,3611.200,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 9",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 9",SO112,"2013-03-02 17:01:31",1500.000,1830.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 9",55,"3 Visitador tres"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 9",SO113,"2013-03-23 22:05:54",2734.000,3335.480,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 9",32,"uno Visitador"
"Ebroderm Piel Normal","Pedido de Cliente 9",SO113,"2013-03-23 22:05:54",2734.000,3335.480,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 9",32,"uno Visitador"
Alufren,"Pedido de Cliente 2",SO116,"2013-07-30 11:21:09",4148.000,5060.560,Created,247,1.000,180.000,180.000000,Alufren,,"Cliente 2",2,"Dos Visitador Dos"
"Ebroderm Piel Normal","Pedido de Cliente 2",SO116,"2013-07-30 11:21:09",4148.000,5060.560,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 2",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 2",SO116,"2013-07-30 11:21:09",4148.000,5060.560,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 2",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 2",SO116,"2013-07-30 11:21:09",4148.000,5060.560,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 2",2,"Dos Visitador Dos"
Ebroset,"Pedido de Cliente 18",SO117,"2013-06-17 19:02:04",4100.000,5002.000,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 18",32,"uno Visitador"
"Ebro Visión","Pedido de Cliente 18",SO117,"2013-06-17 19:02:04",4100.000,5002.000,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 18",32,"uno Visitador"
"Ebroderm Piel Normal","Pedido de Cliente 18",SO117,"2013-06-17 19:02:04",4100.000,5002.000,Created,210,1.000,1500.000,1500.000000,"Ebroderm Piel Normal",,"Cliente 18",32,"uno Visitador"
"Hepa-Merz Granulado","Pedido de Cliente 18",SO117,"2013-06-17 19:02:04",4100.000,5002.000,Created,255,1.000,1000.000,1000.000000,"Hepa-Merz Granulado",,"Cliente 18",32,"uno Visitador"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 2",SO118,"2012-10-16 20:33:34",2234.000,2725.480,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 2",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 2",SO118,"2012-10-16 20:33:34",2234.000,2725.480,Created,242,1.000,1000.000,1000.000000,Ebroset,,"Cliente 2",55,"3 Visitador tres"
Pantogar,"Pedido de Cliente 3",SO119,"2012-10-17 12:56:19",360.000,439.200,Created,250,1.000,180.000,180.000000,Pantogar,,"Cliente 3",55,"3 Visitador tres"
"Ad Muc","Pedido de Cliente 3",SO119,"2012-10-17 12:56:19",360.000,439.200,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 3",55,"3 Visitador tres"
Ebroset,"Pedido de Cliente 18",SO120,"2012-09-21 20:45:26",1320.000,1610.400,Created,252,1.000,180.000,180.000000,Ebroset,,"Cliente 18",2,"Dos Visitador Dos"
"Ebro Visión","Pedido de Cliente 18",SO120,"2012-09-21 20:45:26",1320.000,1610.400,Created,244,1.000,600.000,600.000000,"Ebro Visi&oacute;n",,"Cliente 18",2,"Dos Visitador Dos"
Viru-Merz,"Pedido de Cliente 18",SO120,"2012-09-21 20:45:26",1320.000,1610.400,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 18",2,"Dos Visitador Dos"
Viru-Merz,"Pedido de Cliente 18",SO120,"2012-09-21 20:45:26",1320.000,1610.400,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 18",2,"Dos Visitador Dos"
"Ad Muc","Pedido de Cliente 18",SO120,"2012-09-21 20:45:26",1320.000,1610.400,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 18",2,"Dos Visitador Dos"
"Cientific Hyaluronic Facial Implant 30 y 18","Pedido de Cliente 8",SO121,"2012-09-11 11:09:09",1414.000,1725.080,Created,245,1.000,1234.000,1234.000000,"Cientific Hyaluronic Facial Implant 30 y 18",,"Cliente 8",32,"uno Visitador"
"Ad Muc","Pedido de Cliente 8",SO121,"2012-09-11 11:09:09",1414.000,1725.080,Created,248,1.000,180.000,180.000000,"Ad Muc",,"Cliente 8",32,"uno Visitador"
Viru-Merz,"Pedido de Cliente 6",SO123,"2013-02-03 14:58:47",2828.000,3450.160,Created,251,1.000,180.000,180.000000,Viru-Merz,,"Cliente 6",55,"3 Visitador tres"
